11740 MATH043.05; PRECALC III: ADVANCED TOPICS; Lund, Lance M.; MTWR 1000-1215; L65
11304 CIS 022A02Y; BEG PROG METHOD C++; So, Hann R.; MTWR 1230-1420; AT205
11303 CIS 022A01Y; BEG PROG METHOD C++; Alameer, Abeer; MTWR 1000-1150; AT312
11301 CIS 098.61Z; DIGI IMAGE EDIT SFTWR (PHTSHP); Holmes, Patricia A.; TBA -; ONLINE
11300 CIS 108.61Z; PC SECURITY BASICS; Sherby, Mark; TBA -; ONLINE
11299 CIS 022A61Z; BEG PROG METHOD C++; Pape, Mary P.; TBA -; ONLINE
11267 HIST017A01; HIST U.S. TO ERLY NATNL ERA; Knittel, Gregory L.; TWR 0730-0955; L26
11266 HIST017C03; HIST U.S. 1900- PRESENT; Jackson, Christopher R.; TWR 1230-1455; S75
11265 HIST017B01; HISTORY U.S. 1800-1900; Howard-Pitney, David; TWR 1000-1225; MLC105
11264 P E 006K61; CARDIO KICK; Ghiasvand, Farzaneh; TR 1800-1950; PE15
11256 PSYC008.61; INTRO TO SOC PSYCHOLOGY; Avera, Joshua W.; TWR 1800-2025; L27
11255 SOC 020.02; SOCIAL PROBLEMS; Nava, Steve; MTW 1230-1455; G1
11251 PSYC010G61; CHLD DEV:EARLY YRS; Ebesugawa, Martina K.; MW 1800-2150; G10
11250 C D 010G61; CHLD DEV:EARLY YRS; Ebesugawa, Martina K.; MW 1800-2150; G10
11249 PSYC010G02; CHLD DEV:EARLY YRS; Sun, Li W.; TWR 1230-1455; CD1-10
11248 C D 010G02; CHLD DEV:EARLY YRS; Sun, Li W.; TWR 1230-1455; CD1-10
11246 POLI001.66Z; AMERICAN GOVT & POLITICS; Nguyen, James V.; TBA -; ONLINE
11245 POLI001.08; AMERICAN GOVT & POLITICS; Tully, David W.; TWR 1500-1725; MLC110
11244 ECON002.03; PRIN MICROECONOMICS; Malek, Ninos P.; TWR 1000-1225; S75
11243 ECON002.62; PRIN MICROECONOMICS; Blohm, Stephen W.; TWR 2030-2255; S55
11242 ECON001.03; PRIN MACROECONOMICS; Brady, John M.; TWR 1230-1455; S55
11241 CIS 064B65Z; INTRO TO SQL; Singh, Sukhjit; TBA -; ONLINE
11240 HUMI006.01; POP CULTURE; Berney, Apryl K.; TWR 1000-1225; L27
11238 HUMI016.61Z; ARTS, IDEAS & VALUES; Berry, Leslie A.; TBA -; ONLINE
11237 PARA087.61; PERS INJ & TORT LITIG; Hames, Joanne; MW 1800-2150; L22
11225 PHIL002.01; SOCIAL AND POLITICAL PHILOSOPH; Le, Trung Q.; TWR 1500-1725; L26
11224 GEO 001.01; PHYSICAL GEOGRAPHY; Dutt, Sohini; TWR 1500-1725; L23
11218 DANC022L01; THEOR/TECH BALLET II; Lucas, Warren R.; MTW 1000-1150; PE11U
11217 DANC022K01; THEOR/TECH BALLET I; Lucas, Warren R.; MTW 1000-1150; PE11U
11215 MUSI014C01; CLASSICAL GUITAR III; Zussman, Benett T.; MW 1230-1520; A31
11213 MUSI012C01; CLASS PIANO III; Hicks, Gail E.; TR 0900-1150; A29
11211 F/TV001.02; INTRO TO FILM; Lovell, Glenn M.; MW 1330-1720; AT120
11210 ARTS019K01; CERAMICS DECORATION; Feld, Julia N.; TR 0930-1520; A51
11208 ARTS002A01; HIST OF ART/EUROPE; Roehl, Paul S.; MW 1230-1620; VPA132
11195 MATH022.27; DISCRETE MATHEMATICS; Taylor, Roderic W.; MTWR 1500-1715; S16
11194 EWRT001B67Z; READNG, WRTNG & RESRCH; Giardino, Alexandria J.; TBA -; ONLINE
11188 MATH041.04; PRECALC I:THEORY AND FUNCTIONS; Riley, David R.; MTWR 1000-1215; L25
11186 GEO 010.65Z; WORLD REGIONAL GEOGRAPHY; Ohalloran, Eileen P.; TBA -; ONLINE
11185 MATH042.06; PRECALC II: TRIG FUNCTIONS; Lopez, Richard S.; MTWR 1500-1715; E32
11183 PHYS050.02; PREP PHYSICS; Luna, Eduardo F.; TWR 1730-1955; S35
11177 P E 032P02; TECHNIQUES OF SWIMMING; Von Matt, Danielle M.; TWR 0730-1120; POOLDW
11175 NUTR010.65Z; CONTEMP NUTRITION; Liechty, Barbara D.; TBA -; ONLINE
11174 EWRT002.05; CRIT READ, WRIT & THINK; Cragen, Elliott; MTWR 1230-1445; S72
11173 SOC 004.61Y; RACE, ETHNICITY & INEQUALITY; Kensler, Meghan C.; T 1800-2150; MLC113
11163 MATH212.04; COLLEGE MATH PREP:BEG. ALG.; Ison, Millia C.; MTWR 1230-1320; S45
11162 P E 39MX01; INTERCOLLEGIATE MEN'S SOCCER; Johnson, Mark R.; MTWR 1200-1410; ST-FLD
11141 P E 032P55; TECHNIQUES OF SWIMMING; Von Matt, Danielle M.; TBA -; POOLW
11139 MATH010.09; ELEM STATS/PROBABILITY; Wong, Winnie W.; MTWR 1500-1715; E34
11134 P E 006K02; CARDIO KICK; Ghiasvand, Farzaneh; MW 1000-1150; PE15
11133 P E 002Y04; HATHA YOGA; Ghiasvand, Farzaneh; MW 0800-0950; PE14
11132 P E 004.06; STRENGTH DEVELOPMENT; Atencio, Dan A.; MW 1000-1150; PE11L
11127 P E 006D03; BODY SCULPTING; Pacheco, Rachel L.; TR 1000-1150; PE15
11106 ICS 022.01Y; CONTEMP ISSUES ASIAN AMER COMM; Choi, Soo H.; TW 1230-1455; MLC113
11101 MCNC071.61; INTRO TO MACHINING AND CNC; Mori, James T.; MTW 1730-2145; E25
11100 LART211.01D; INTEG READ/WRIT; Nelson, Renee K.; MTWR 1000-1215; MLC112
11099 WMST021.01; WOMEN IN LITERATURE; Quigley, Jill K.; TWR 1230-1455; SEM2
11096 EWRT002.03; CRIT READ, WRIT & THINK; Cragen, Elliott; MTWR 1000-1215; G9
11095 EWRT001B66Z; READNG, WRTNG & RESRCH; Giardino, Alexandria J.; TBA -; ONLINE
11093 EWRT001A03Y; COMPOSITION AND READING; Leonard, Amy E.; MW 1000-1215; L46
11092 ELIT021.01; WOMEN IN LITERATURE; Quigley, Jill K.; TWR 1230-1455; SEM2
11084 ICS 027.55; GRSRTS DEMOC:LDRSHP/PWR; Chang, Michael; TWR 1000-1225; L84
11083 ICS 027.56; GRSRTS DEMOC:LDRSHP/PWR; Chang, Michael; TWR 1330-1555; L84
11033 PSYC064Z55; PSYCHOLOGY INTERNSHIP; Healy, Mark C.; TBA -; TBA
11031 PSYC064X55; PSYCHOLOGY INTERNSHIP; Healy, Mark C.; TBA -; TBA
11027 MATH114.08; MATH PREP LEVEL 3:INT.ALG.; Howard, Wyatt C.; MTWR 1500-1715; MLC105
11026 MATH114.05; MATH PREP LEVEL 3:INT.ALG.; Judson, Zachary J.; MTWR 1230-1445; MLC108
11014 MATH001A01; CALCULUS; Mosh, Farshod; MTWR 0730-0945; E31
11001 GEOL020.01; GENERAL OCEANOGRAPHY; Dileonardo, Christopher G.; MTWR 1230-1420; S15
10987 ESCI087.01; CNTRL COAST WLDLF CORRDR:DIABL; Phillips, Ryan A.; F 0830-1530; KC120
10979 MATH010.04; ELEM STATS/PROBABILITY; Desilets, Lenore M.; MTWR 1000-1215; G7
10969 C D 058.01; INFANT/TODDLER DEV; Zarghami, Fatemeh S.; TWR 1230-1455; G10
10968 C D 064.01; HLTH,SAFETY & NUTRITION; Vargas, Nellie E.; TWR 1330-1555; CD2-28
10967 PSYC001.04; GENERAL PSYCHOLOGY; Clifford Jr, James O.; TWR 1500-1725; FOR4
10965 ANTH002.01; CULTURAL ANTHROPOLOGY; McGrail, Richard P.; TWR 0730-0955; L24
10964 ECON001.01; PRIN MACROECONOMICS; Singh, Ravjeet; TWR 0730-0955; S55
10962 HUMI001.04; CREATIVE MINDS; Galindo, Javier W.; WR 1530-1755; G4
10960 SOC 001.03; INTRO TO SOCIOLOGY; Dehaan, Tracy J.; MTW 1000-1225; MLC110
10959 PHIL001.02; KNOWLEDGE AND REALITY; Hanson, Anthony L.; MTW 1500-1725; L22
10958 GEO 004.01; CULTURAL GEOGRAPHY; Rohrmeier, Kerry D.; MTW 1230-1455; L23
10957 CHEM001C02; GEN CHEM/QUAL ANALYSIS; Woodbury, Erik D.; TWR 1500-1615; S32
10956 MET 010.61Z; WEATHER AND CLIMATE PROCESSES; James, Bridget R.; TBA -; ONLINE
10954 F/TV010.01; INTRO TO ELECTRONIC MEDIA; Gillette, Aimee S.; MW 0900-1250; AT120
10947 MUSI014B01; CLASSICAL GUITAR II; Zussman, Benett T.; MW 1230-1520; A31
10946 PHTG004.01; INTRO TO DIGITAL PHTG; Pierce, Diane P.; TR 0930-1120; A92
10945 PHTG060.61Z; USING A DIGITAL CAMERA; Bhattacharji, Sita M.; TBA -; ONLINE
10937 ARTS002C01; HIST OF ART/EUROPE; Becerril, Linda M.; TR 0830-1220; VPA132
10936 ARTS001A02; INTRO TO VISUAL ARTS; Karmi, Yael; TR 1230-1620; VPA132
10934 CDI 102Z01; CAD TECH LAB SOLIDWRKS (BEG); Klingman, Paul B.; MTWR 1400-1650; E35
10906 WMST008.65Z; WMN OF COLR IN U.S.; Lewis, Julie; BA -; ONLINE
10905 ICS 008.65Z; WMN OF COLR IN U.S.; Lewis, Julie; BA -; ONLINE
10901 EWRT002.04; CRIT READ, WRIT & THINK; Olson, Lucia T.; MTWR 1000-1215; S71
10896 EWRT001B06; READNG, WRTNG & RESRCH; Lewis, Brian A.; MTWR 1230-1445; MLC255
10895 READ211.12; DEVEL READNG; Yoes, Susan M.; MTWR 1000-1215; L31
10885 MATH001C06; CALCULUS; Balm, Cheryl L.; MTWR 1500-1715; MLC109
10884 MATH043.01; PRECALC III: ADVANCED TOPICS; Du, Jianbo; MTWR 0730-0945; MLC112
10882 P E 032N01; TRACK/FIELD TECHNIQUES; Mattis, Nicholas O.; TBA -; TBA
10881 P E 006V03; CORE CONDITIONING; Beggs, Thomas W.; MTWR 0500-0550; POOLM
10878 ESL 253.04; HIGH INTERM. GRAMM/WRITG; Goodwin, Mary Ellen; TWR 1500-1725; L34
10877 POLI001.04; AMERICAN GOVT & POLITICS; Tarikh, Ishmael P.; TWR 1000-1225; ADM119
10875 C D 053.61; CREATVE ARTS-YOUNG CHILD; De Motta, Phyllis U.; MW 1800-2050; CD1-10
10870 P E 041X02; INTERCOLLEG WATER POLO; Von Matt, Danielle M.; MTWR 0900-1110; POOLW
10868 P E 043X02; INTERCOLL X COUNTRY (MEN/WOM); Mattis, Nicholas O.; MTWR 0900-1110; ST-TR
10863 P E 39WX02; INTERCOL WMN'S SOCCER; Owiesny, Cheryl L.; MTWR 1300-1510; FLDS
10857 PHYS002A01; GEN INTROD PHYSICS; Francis, Ronald W.; TWR 1230-1345; S35
10856 BUS 087.61Z; INTRO TO SELLING; Cappello, Emmanuele; TBA -; ONLINE
10855 KORE001.01; ELEM KOREAN (1ST QTR); Choi, Hwaja; MTWR 1500-1715; L65
10854 JAPN001.01; ELEM JAPANESE (1ST QTR); Inaba, Chigusa; MTWR 1000-1215; L61
10853 FREN001.01; ELEM FRENCH (1ST QTR); Hafid, Loubna B.; MTWR 0730-0945; L61
10829 BIOL040A02; HUMAN ANAT & PHYSIOLOGY; Webb, William C.; MTWR 1030-1220; S34
10828 BIOL040A01; HUMAN ANAT & PHYSIOLOGY; Webb, William C.; MTWR 1030-1220; S34
10825 P E 021A61; BEGIN TENNIS; Simons, Kelly; TR 1800-1950; T-CRTE
10824 P E 021B61; ADV BEGIN TENNIS; Simons, Kelly; TR 1800-1950; T-CRTE
10815 ESL 253.03; HIGH INTERM. GRAMM/WRITG; Lee, Charles C.; TWR 1500-1725; L82
10814 ESL 253.02; HIGH INTERM. GRAMM/WRITG; Lee, Charles C.; WR 1000-1225; L33
10813 ESL 252.01; HIGH INTERMED. READING; Wong, Letty; TWR 0730-0920; L35
10812 ESL 251.01; HGH INTER LISTNG/SPEAKNG; Norman, Craig S.; TWR 1000-1150; PE12U
10811 EWRT211.19; PREPARATORY WRITING SKILLS; Smith, Brian F.; MTWR 1230-1445; L46
10809 EWRT002.66Z; CRIT READ, WRIT & THINK; Limcolioc, Luis K.; TBA -; ONLINE
10807 EWRT001A65Z; COMPOSITION AND READING; Coronado, Marc; TBA -; ONLINE
10773 CIS 014A61Z; VISUAL BASIC.NET PROGR I; Linn Jr, Arthur J.; TBA -; ONLINE
10686 CIS 003.02Y; BUSINESS INFO SYSTEMS; Morgan Jr, Alexander; MTWR 1230-1420; AT202
10683 CIS 035B61Y; ADV JAVA PROGRAMMING; Larkin, Grant B.; MW 1800-2150; AT204
10681 CIS 027.61Y; PRGRMNG C++ FOR C/JAVA PRGMRS; Larkin, Grant B.; TR 1800-2150; AT311
10680 CIS 018A61Y; INTRO TO UNIX/LINUX; Eftekhari, Kamran; TR 1800-2150; AT204
10671 PARA064.55; PARALEGAL INTERNSHIP; Ellis, Terry R.; TBA -; L13C
10668 ANTH001L01; PHYS ANTHRO LAB; Casareto, Ana J.; MW 1230-1520; MLC101
10665 HUMI016.01; ARTS, IDEAS & VALUES; Berney, Apryl K.; TWR 1230-1455; L21
10664 HUMI001.01; CREATIVE MINDS; Jackman, Rashi A.; TWR 0730-0955; G4
10663 CIS 003.61Y; BUSINESS INFO SYSTEMS; Rueda, Jose L.; MW 1800-2150; AT202
10662 HIST017A02; HIST U.S. TO ERLY NATNL ERA; Hamer, John H.; TWR 1230-1455; MLC260
10661 E S 079.61Z; RENWBLE/ALTERNAT ENERGY SYST; Roeder, William M.; TBA -; ONLINE
10660 E S 078.61Z; ENERGY MGMT SYST/CONTRLS; Roeder, William M.; TBA -; ONLINE
10659 E S 076A61Z; SOLAR THERMAL SYSTEMS; Roeder, William M.; TBA -; ONLINE
10658 E S 075.61Z; ELECTRC POWER SYSTEMS; Celio, Richard C.; TBA -; ONLINE
10657 E S 074.61Z; LIGHTNG DISTRIB SYSTEMS; Roeder, William M.; TBA -; ONLINE
10656 E S 073.61Z; ELECTRC MOTORS/DRIVES; Celio, Richard C.; TBA -; ONLINE
10655 E S 072.61Z; HVAC SYSTEMS; Wheelehan, Ronald B.; TBA -; ONLINE
10654 E S 071.61Z; BUILDING ENVELOPE; Roeder, William M.; TBA -; ONLINE
10653 E S 070.61Z; INTRO ENRGY MGMT TECHNLGY; Wheelehan, Ronald B.; TBA -; ONLINE
10651 E S 068.61Z; COMM-BASED COALITNS & STAKEHLD; De Toro, Alicia K.; TBA -; ONLINE
10650 E S 067.61Z; ENVIRON TEAM-BLDNG; De Toro, Alicia K.; TBA -; ONLINE
10649 E S 066.61Z; ENVIRON LEADERSHIP; De Toro, Alicia K.; TBA -; ONLINE
10648 E S 065.61Z; ENVIRON STEWARDSHIP; De Toro, Alicia K.; BA -; ONLINE
10647 HTEC184.55F; CLINIC IMMUNOLOGY/IMMUNHEMA PR; Buchner, Patricia A.; TBA -; TBA
10646 HTEC183.55F; CLINIC MICROBIOLOGY PRACTICUM; Buchner, Patricia A.; TBA -; TBA
10645 HTEC180.55F; CLINIC HEMA/UA/COAG PRACTICUM; Buchner, Patricia A.; TBA -; TBA
10644 HTEC096H55F; EKG EXTERNSHIP; Miramontes, Maureen I.; TBA -; TBA
10642 HTEC096F55F; INSURANCE AND CODING EXTERN; Miramontes, Maureen I.; TBA -; TBA
10641 HTEC096E55F; BUS OFFICE CLERK EXTERNSHIP; Miramontes, Maureen I.; TBA -; TBA
10640 HTEC096D55F; MED RECORD CLERK EXTERNSHIP; Miramontes, Maureen I.; TBA -; TBA
10639 HTEC096C55F; MED FILE CLERK EXTERNSHIP; Miramontes, Maureen I.; TBA -; TBA
10638 HTEC096B55F; MEDICAL SECRETARIAL EXTERNSHP; Miramontes, Maureen I.; TBA -; TBA
10637 HTEC096A55F; MEDICAL ASSISTING EXTERNSHIP; Miramontes, Maureen I.; TBA -; TBA
10636 HTEC095B55F; PHLEBOTOMY TECH I EXTERNSHIP; Miramontes, Maureen I.; TBA -; TBA
10619 P E 016A01; BEGINNING GOLF; Hertler, David S.; TR 1000-1150; FLDGLF
10612 ARTS018A01; CERAMICS; Feld, Julia N.; TR 0930-1520; A51
10611 BUS 055.61Z; INTRO TO ENTREPRENEURSHIP; Cappello, Emmanuele; TBA -; ONLINE
10610 BUS 010.61Z; INTRO TO BUSINESS; Lilly, Byron J.; TBA -; ONLINE
10609 NUTR010.02; CONTEMP NUTRITION; Miller, Anne F.; MTW 1130-1355; S57
10605 MATH212.01; COLLEGE MATH PREP:BEG. ALG.; Wheeler, Daniel; MTWR 0730-0945; S46
10603 BIOL010.04; INTRO BIOLOGY; Bram, Jason B.; MTWR 1430-1620; MLC103
10602 MATH042.61; PRECALC II: TRIG FUNCTIONS; Lopez, Richard S.; MTWR 1730-1945; E32
10601 MATH042.05; PRECALC II: TRIG FUNCTIONS; Bambhania, Doli N.; MTWR 1230-1445; E32
10599 MATH042.03; PRECALC II: TRIG FUNCTIONS; Khosravi, Mehrdad; MTWR 1000-1215; G5
10598 MATH042.01; PRECALC II: TRIG FUNCTIONS; Bambhania, Doli N.; MTWR 0730-0945; MLC108
10597 MATH114.63; MATH PREP LEVEL 3:INT.ALG.; Rudolf, Howard; MTWR 2000-2215; MLC109
10553 P E 004.03; STRENGTH DEVELOPMENT; Pacheco, Rachel L.; MTWR 0600-0650; PE21E
10552 SPCH077X65R; SPEC INDIV PROJ/SPCH COM; Gainer, Brandon T.; TBA -; TBA
10550 EWRT002.67Z; CRIT READ, WRIT & THINK; Limcolioc, Luis K.; TBA -; ONLINE
10549 MATH010.06; ELEM STATS/PROBABILITY; Wong, Winnie W.; MTWR 1230-1445; E34
10544 PHYS002A02; GEN INTROD PHYSICS; Francis, Ronald W.; TWR 1230-1345; S35
10542 P E 006G03; AEROBIC SWIMMING; Beggs, Thomas W.; MTWR 0500-0550; POOLM
10541 P E 009.02; CARDIO/STRENGTH TRAIN; Beggs, Thomas W.; MTWR 0500-0550; POOLM
10514 ESL 244.03; INTER ESL; Ruumet, Marika; MTWR 1230-1600; AT103
10512 BIOL010.65Z; INTRO BIOLOGY; Pane, Eric F.; TBA -; ONLINE
10511 BIOL010.61Z; INTRO BIOLOGY; Pane, Eric F.; TBA -; ONLINE
10329 ESCI001.01; ENVIRON SCIENCE; McCluskey, Joshua A.; MTWR 0930-1120; KC115
10328 SOC 001.05; INTRO TO SOCIOLOGY; Jeung, Jensen J.; MTW 1500-1725; L21
10324 E S 001.61Z; INTRO ENVIRON STDS; Clark, Jana L.; TBA -; ONLINE
10305 ACCT001C61Z; MANAG ACCOUNTG; Kwak, Christopher C.; TBA -; ONLINE
10304 ACCT001B61Z; FINAN ACCOUNTG II; Gough, Walter M.; TBA -; ONLINE
10301 ACCT001A61Z; FINAN ACCOUNTNG I; Kwak, Christopher C.; TBA -; ONLINE
10296 ACCT001C03; MANAG ACCOUNTG; Hung, Lih F.; MTWR 1000-1215; L28
10292 ACCT001B05; FINAN ACCOUNTG II; Park, Se J.; MTWR 1230-1445; G6
10289 ACCT001A61; FINAN ACCOUNTNG I; Hurst, Stephen J.; MTWR 1800-2015; G6
10287 ACCT001A05; FINAN ACCOUNTNG I; Hurst, Stephen J.; MTWR 1230-1445; L66
10286 ACCT001A03; FINAN ACCOUNTNG I; Breen, Mary A.; MTWR 1000-1215; G6
10283 ELIT022.01; MYTHOLOGY AND FOLKLORE; Nelson, Renee K.; TWR 1230-1455; L36
10281 ELIT011.01; INTRODUCTION TO POETRY; Denny, David M.; TWR 1000-1225; SEM2
10280 ELIT010.01; INTRO TO FICTION; Cudahy, Mary A.; TWR 1500-1725; L36
10279 EWRT002.65Z; CRIT READ, WRIT & THINK; Hearn, Lydia C.; BA -; ONLINE
10277 EWRT001B61Z; READNG, WRTNG & RESRCH; Modirzadeh, Yeganeh; TBA -; ONLINE
10275 EWRT001A67Z; COMPOSITION AND READING; Hoyle, Jonah J.; BA -; ONLINE
10274 EWRT001A66Z; COMPOSITION AND READING; Hoyle, Jonah J.; BA -; ONLINE
10265 HUMA010.01; HUMAN SEXUALITY; Joplin, Natasha W.; TWR 1230-1455; MCC-12
10263 P E 032I01; DEF. FOOTBALL TECHNIQUES; Santos, Anthony J.; MTWR 1400-1650; ST-FLD
10262 P E 032H01; OFF. FOOTBALL TECHNIQUES; Atencio, Dan A.; MTWR 1400-1650; ST-FLD
10261 P E 032H02; OFF. FOOTBALL TECHNIQUES; Atencio, Dan A.; TBA -; TBA
10253 PEA 006Y01F; ADPTD OUTDOOR EDUCATION; Beggs, Thomas W.; TR 1330-1640; CUPSC
10246 CIS 002.61Z; CMPTRS & INTERNT IN SOCIETY; Taylor, Valerie E.; TBA -; ONLINE
10233 PARA064X55; PARALEGAL INTERNSHIP; Ellis, Terry R.; TBA -; L13C
10226 HUMI007.61Z; ARTS & HUMAN SPIRIT; Clinchard, Lori C.; BA -; ONLINE
10224 HIST003A61Z; WORLD HISTORY; Stevens, Margaret L.; TBA -; ONLINE
10222 ANTH002.03; CULTURAL ANTHROPOLOGY; Ishaya, Arianne; TWR 1230-1455; L24
10216 BIOL010.03; INTRO BIOLOGY; Bram, Jason B.; MTWR 1430-1620; MLC103
10215 PSYC014.61; DEVLPMNTL ASPECTS OF PSY; Johnson, Elise L.; TWR 1800-2025; MLC110
10214 PSYC001.61Z; GENERAL PSYCHOLOGY; Ramskov, Charles; TBA -; ONLINE
10208 MATH001B61; CALCULUS; Taylor, Roderic W.; MTWR 1730-1945; S16
10200 PHIL004.02; CRITICAL THINKING; Bunce, Daniel J.; TWR 1500-1725; ADM101
10199 PHIL004.01; CRITICAL THINKING; Galindo, Javier W.; TWR 1000-1225; G10
10198 POLI001.06; AMERICAN GOVT & POLITICS; Ovetz, Robert F.; TWR 1230-1455; MLC105
10196 ECON001.65Z; PRIN MACROECONOMICS; Burns, Elizabeth A.; TBA -; ONLINE
10195 ECON001.61Z; PRIN MACROECONOMICS; Uy-Barreta, Don J.; TBA -; ONLINE
10190 SOC 001.02; INTRO TO SOCIOLOGY; Pasion, Mark E.; TWR 1000-1225; L47
10184 P E 021A02; BEGIN TENNIS; Roesky, Richard D.; MW 1000-1150; T-CRTE
10182 WMST008.61Z; WMN OF COLR IN U.S.; Lewis, Julie; TBA -; ONLINE
10181 ICS 008.61Z; WMN OF COLR IN U.S.; Lewis, Julie; TBA -; ONLINE
10175 P E 032N02; TRACK/FIELD TECHNIQUES; Mattis, Nicholas O.; MTWR 0930-1220; ST-TR
10174 P E 004.02; STRENGTH DEVELOPMENT; Atencio, Dan A.; TR 1200-1350; PE11L
10173 HUMI001.61Z; CREATIVE MINDS; Hoffman, Barbara S.; TBA -; ONLINE
10172 HUMI001.03; CREATIVE MINDS; Mischke, John K.; TWR 1230-1455; G4
10162 PARA075.61; PRIN AND PROCED OF JUST SYST; Bonini, Griffin M.; MW 1800-2150; L21
10161 ADMJ075.61; PRIN AND PROCED OF JUST SYST; Bonini, Griffin M.; MW 1800-2150; L21
10159 ANTH001.01; PHYS ANTHRO; Hui, Julie M.; TWR 0730-0955; MLC102
10154 ENGR037.61; INTRO TO CIRCUIT ANALYSIS; Hamel-Bissell, Brendan H.; MTWR 1830-2045; S44
10153 ENGR010.01; INTRO ENGINEERNG; Zand, Manizheh; MTWR 1400-1515; S48
10150 ICS 004.61Y; RACE, ETHNICITY & INEQUALITY; Kensler, Meghan C.; T 1800-2150; MLC113
10149 MATH041.07; PRECALC I:THEORY AND FUNCTIONS; Wheeler, Daniel; MTWR 1230-1445; S16
10148 MATH001C05; CALCULUS; Njinimbam, Edwin N.; MTWR 1230-1445; S46
10147 MATH001A05; CALCULUS; Tran, Danny; MTWR 1230-1445; S54
10141 MATH043.61; PRECALC III: ADVANCED TOPICS; Krestas, George V.; MTWR 1730-1945; MLC108
10140 MATH043.02; PRECALC III: ADVANCED TOPICS; Klein, Charles S.; MTWR 1000-1215; E33
10139 MATH043.03; PRECALC III: ADVANCED TOPICS; Shi, Kejian; MTWR 1230-1445; E33
10138 MATH041.05; PRECALC I:THEORY AND FUNCTIONS; Kifer, Curtis W.; MTWR 1230-1445; S44
10137 MATH041.03; PRECALC I:THEORY AND FUNCTIONS; Auyoung, Yatman; MTWR 1000-1215; E34
10135 MATH010.63; ELEM STATS/PROBABILITY; Sales, Parviz; MTWR 1730-1945; E34
10134 ICS 022.55; CONTEMP ISSUES ASIAN AMER COMM; Chai, Christine S.; TWR 1330-1555; L83
10132 ICS 022.56; CONTEMP ISSUES ASIAN AMER COMM; Chai, Christine S.; TWR 1000-1225; L83
10130 ARTS002F61Z; HIST OF ART/MULTICULTRL; Cadge-Moore, Catie A.; TBA -; ONLINE
10128 ICS 005.61Z; HIST OF ART/MULTICULTRL; Cadge-Moore, Catie A.; TBA -; ONLINE
10124 P E 006V02; CORE CONDITIONING; Atencio, Dan A.; MW 1200-1350; PE15
10123 P E 006D02; BODY SCULPTING; Hertler, David S.; MW 0800-0950; PE15
10084 MUSI014A01; CLASSICAL GUITAR I; Zussman, Benett T.; MW 1230-1520; A31
10057 NURS050.01; CAREER OPPRTN/NURSING; Hrycyk, Catherine A.; TR 0730-0920; FOR1
10017 PEA 004.03; ADAPTD CARDIOVSCLR TRAING; Bennett, Mary F.; MW 0750-0850; PE13
10010 P E 071.51; LFTME WELLNS/FTNS CTR LAB; Lee-Wheat, Coleen P.; TBA -; PE610
10004 SOC 001.01; INTRO TO SOCIOLOGY; Birago, Kamau; TWR 0730-0955; S75
10003 SOC 020.01; SOCIAL PROBLEMS; Nava, Steve; MTW 1000-1225; G1
01208 READ211.15; DEVEL READNG; James, Jennifer J.; MTWR 1500-1715; L31
01168 REST050.61; REAL ESTATE PRINCIPLES; Kiamanesh, Sam; MW 1800-2150; FOR4
01155 REST051.61Z; REAL ESTATE PRACTICES; Sherby, Mark; TBA -; ONLINE
01143 ESL 273.61; INTRO TO THE ESSAY; Boerner, Karen D.; MTWR 1800-2015; L46
01141 EWRT211.11; PREPARATORY WRITING SKILLS; Anderson, Rene D.; MTWR 0730-0945; L82
01140 EWRT002.08; CRIT READ, WRIT & THINK; Sandel, Adam H.; MTWR 1500-1715; G9
01135 EWRT002.02; CRIT READ, WRIT & THINK; Brennan, Raymond J.; MTWR 1000-1215; S72
01134 EWRT001B05; READNG, WRTNG & RESRCH; Morfee, Julie E.; MTWR 1230-1445; L62
01122 SPCH010.02; FUND OF ORAL COMMUNICATN; Hong, Russell A.; TWR 0730-0955; L43
01121 SPCH001.03; PUBLIC SPEAKING; Kramer, Alexander P.; TWR 1230-1455; L43
01108 C D 055.01; LITERCY DEVEL/ACTIV YNG CHLD; Langfelder, Diane; TWR 1000-1150; CD1-10
01106 HIST017C01; HIST U.S. 1900- PRESENT; Ignoffo, Mary J.; TWR 0730-0955; MLC110
01104 HUMI009.61Z; INTRO TO COMPARATIVE RELIGION; Clinchard, Lori C.; TBA -; ONLINE
01102 PHIL008.01; ETHICS; Ramirez, Antonio J.; TWR 0730-0955; MLC111
01084 P E 002Y01; HATHA YOGA; Simons, Kelly; TR 1000-1150; PE14
01081 P E 021B01; ADV BEGIN TENNIS; Roesky, Richard D.; MW 1000-1150; T-CRTE
01077 THEA020C01; THEORY/TECHN ACTNG:CLASS; Stimson, Elizabeth E.; MTW 1300-1650; G3
01076 THEA020B01; THEORY/TECHN ACTNG:MODRN; Stimson, Elizabeth E.; MTW 1300-1650; G3
01073 P E 003.01; INDOOR CYCLING; Pacheco, Rachel L.; MW 1000-1150; PE14
01071 P E 019A01; BEGIN VOLLEYBALL; May, Christian R.; TR 1000-1150; PE21E
01062 P E 013C01; ADV BADMINTON; Hertler, David S.; MW 1000-1150; PE21E
01061 P E 013B01; INTERMEDIATE BADMINTON; Hertler, David S.; MW 1000-1150; PE21W
01050 ARTS010B01; INTERM 3-DIMENSIONAL DESIGN; Ohtake, Motosuke; MTW 0830-1220; A71
